Month,Treasury_Avg_Yield,Treasury_Avg_Coupon,Avg_Years_to_Maturity,Avg_Yield_Spread,Year,SP500_Return,Year_y,NSE_Avg_Return,Predicted_Return
2024-01,,,,,2024,25.02,2024.0,465.0689189917515,480.93785247056985
2024-02,,,,,2024,25.02,2024.0,462.632787715962,480.93785247056985
2024-03,,,,,2024,25.02,2024.0,465.7056380845399,480.93785247056985
2024-04,,,,,2024,25.02,2024.0,456.1906109214989,480.93785247056985
2024-05,,,,,2024,25.02,2024.0,459.5751475176631,480.93785247056985
2024-06,,,,,2024,25.02,2024.0,452.6152534000359,480.93785247056985
2024-07,,,,,2024,25.02,2024.0,444.9972649144941,480.93785247056985
2024-08,17.350466666666666,16.605433333333334,4.178082191780822,0.7450333333333319,2024,25.02,2024.0,458.2210065415993,497.34723705392724
2024-09,14.9017,13.6755,13.31780821917808,1.2262000000000004,2024,25.02,2024.0,478.8214958407887,387.593455346782
2024-10,17.35435,17.67885,3.0712328767123287,-0.3245000000000004,2024,25.02,2024.0,571.0177036490182,496.840570664437
2024-11,18.4222,18.3854,2.9945205479452053,0.0367999999999995,2024,25.02,2024.0,2494.310949749016,500.0108189066764
2024-12,,,,,2024,25.02,2024.0,857.0632677039749,480.93785247056985
