Month,Projected_Return_%,Projected_Value
2026-01,133.9722874953797,233972.2874953797
2026-02,73.8047700808336,406654.9963342117
2026-03,68.64413874188779,685799.8162186866
2026-04,68.64413874188779,1156561.1935554533
2026-05,68.64413874188779,1950472.663894492
2026-06,68.64413874188779,3289357.8254208216
2026-07,93.21169766875376,6355424.096895571
2026-08,68.64413874188779,10718050.231603935
2026-09,73.58928944817669,18605387.239739925
2026-10,68.64413874188779,31376895.070052482
2026-11,68.64413874188779,52915294.45483585
2026-12,85.41399507401502,98112361.45388989
