Month,Projected_Return_%,Projected_Value
2026-01,122.29535659247713,222295.35659247715
2026-02,77.37621853437673,394299.0975012443
2026-03,71.9170137582054,677867.2336996938
2026-04,71.9170137582054,1165369.1054218689
2026-05,71.9170137582054,2003467.7653019892
2026-06,71.9170137582054,3444301.9537154306
2026-07,78.29804444794483,6141123.028356971
2026-08,71.9170137582054,10557635.321568774
2026-09,62.14346414929995,17118515.64264169
2026-10,71.9170137582054,29429640.892560855
2026-11,71.9170137582054,50594559.78225428
2026-12,74.24214212671471,88157044.76418115
